sample,fastq_1,fastq_2,strandedness,celltype,treatment,biol_rep,group,experimenter
D1_CC_1,../results/hisat2/fastq_out_trim/D1_CC_1_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_CC_1_R2_val_2.fq.gz,reverse,D1,CC,1,D1_CC,0
D1_CC_2,../results/hisat2/fastq_out_trim/D1_CC_2_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_CC_2_R2_val_2.fq.gz,reverse,D1,CC,2,D1_CC,1
D1_CC_3,../results/hisat2/fastq_out_trim/D1_CC_3_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_CC_3_R2_val_2.fq.gz,reverse,D1,CC,3,D1_CC,0
D1_CC_4,../results/hisat2/fastq_out_trim/D1_CC_4_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_CC_4_R2_val_2.fq.gz,reverse,D1,CC,4,D1_CC,1
D1_CC_5,../results/hisat2/fastq_out_trim/D1_CC_5_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_CC_5_R2_val_2.fq.gz,reverse,D1,CC,5,D1_CC,0
D1_SC_1,../results/hisat2/fastq_out_trim/D1_SC_1_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_1_R2_val_2.fq.gz,reverse,D1,SC,6,D1_SC,1
D1_SC_2,../results/hisat2/fastq_out_trim/D1_SC_2_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_2_R2_val_2.fq.gz,reverse,D1,SC,7,D1_SC,0
D1_SC_3,../results/hisat2/fastq_out_trim/D1_SC_3_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_3_R2_val_2.fq.gz,reverse,D1,SC,8,D1_SC,1
D1_SC_4,../results/hisat2/fastq_out_trim/D1_SC_4_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_4_R2_val_2.fq.gz,reverse,D1,SC,9,D1_SC,0
D1_SC_5,../results/hisat2/fastq_out_trim/D1_SC_5_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_5_R2_val_2.fq.gz,reverse,D1,SC,10,D1_SC,1
D1_SC_6,../results/hisat2/fastq_out_trim/D1_SC_6_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_6_R2_val_2.fq.gz,reverse,D1,SC,31,D1_SC,0
D1_SC_7,../results/hisat2/fastq_out_trim/D1_SC_7_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SC_7_R2_val_2.fq.gz,reverse,D1,SC,32,D1_SC,1
D1_SS_1,../results/hisat2/fastq_out_trim/D1_SS_1_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SS_1_R2_val_2.fq.gz,reverse,D1,SS,11,D1_SS,0
D1_SS_2,../results/hisat2/fastq_out_trim/D1_SS_2_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SS_2_R2_val_2.fq.gz,reverse,D1,SS,12,D1_SS,1
D1_SS_3,../results/hisat2/fastq_out_trim/D1_SS_3_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SS_3_R2_val_2.fq.gz,reverse,D1,SS,13,D1_SS,0
D1_SS_4,../results/hisat2/fastq_out_trim/D1_SS_4_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SS_4_R2_val_2.fq.gz,reverse,D1,SS,14,D1_SS,1
D1_SS_5,../results/hisat2/fastq_out_trim/D1_SS_5_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D1_SS_5_R2_val_2.fq.gz,reverse,D1,SS,15,D1_SS,0
D2_CC_1,../results/hisat2/fastq_out_trim/D2_CC_1_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D2_CC_1_R2_val_2.fq.gz,reverse,D2,CC,16,D2_CC,1
D2_CC_2,../results/hisat2/fastq_out_trim/D2_CC_2_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D2_CC_2_R2_val_2.fq.gz,reverse,D2,CC,17,D2_CC,0
D2_CC_3,../results/hisat2/fastq_out_trim/D2_CC_3_R1_val_1.fq.gz,../results/hisat2/fastq_out_trim/D2_CC_3_R2_val_2.fq.gz,reverse,D2,CC,18,D2_CC,1
